username;caption;tag;tagId;link
"ridhooks";"#morning 😊💞\n#swag #sweet #today #top #rayban #sungglasses #glasses #juice #juicy #juicematic #juicehous #dc #rice #rip #rich #richmond #beautiful #beach #cool #likeforlike #like4like #follow4followback #followme #ido #idol";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826184_1078844042138053_953463048_n.jpg?ig_cache_key=MTIwNjgyMzQ4MDQwMjgyMTUzOQ%3D%3D.2"
"monkeyboy5150";"#redribboncake  #jollibee #chickenjoy #jollibeechickenjoy #rice #macarons #food #missingsomeone";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10632491_196271824078469_568153850_n.jpg?ig_cache_key=MTIwNjgyMjgxNDEwNjQzMjM1Mw%3D%3D.2.l"
"chenmoorechopsticks";"Another of our family favourites\n#Taiwanese #mincepork & #tofu with #rice (great with #noodles too!)-- kind of equivalent to Italian #bolognese with pasta\n\n#tasteslikehome #mumscooking\n#comfortfood #orientalfood\n#orientalcooking #instafood #instafoodie";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1971439_589972367818983_1813297496_n.jpg?ig_cache_key=MTIwNjgyMjY4MTQwNzM0NDAwMg%3D%3D.2.l"
{"username":"isisq","username":"leslygermosen","username":"vnvianna","username":"xzbreaxz","username":"natdisla","username":"bellezaorganica","username":"yovabrea","username":"gpamem","username":"anagerox","username":"ariannyram","username":"cocinadelcaribe"};"#finally #perapiña #juice #jugo #jugonatural #naturaljuice #sorbet #comerencasaRD #beberencasaRD #pineapple #rice #cinnamon #canela #sugar #azúcar #water #easy #DominicanRepublic #RepublicaDominicana";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12797609_1645005405755586_358297441_n.jpg?ig_cache_key=MTIwNjgyMjM3ODI2OTgzNjI1NA%3D%3D.2"
"sara_16796";"#sushi#time#piccoli#regali#pic#fish#rice#picture";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12783880_1154998764554725_1701111270_n.jpg?ig_cache_key=MTIwNjgyMjI2OTI2NjQ1NTI4OA%3D%3D.2"
"memphisteph";"because it's goin' upppp on a tuesday 😍🌿🍅🙌😋 #tacotuesday #tacoring #homemade #guacamole #rice #riceandbeans #tomato #onion #lettuce #cheese #sourcream #freshveggies #seriousaboutfood #sogood #dinnerlife #thisislife #goodvibes";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/11380087_226475361039642_1457420882_n.jpg?ig_cache_key=MTIwNjgyMTgyODk1ODM0MDIxNg%3D%3D.2"
"minatosushibar";"Mucho más que solo Sushi, nuestra gran selección de platos satisfacen todos los gustos. Fríos o calientes son verdaderas experiencias gastronómicas que buscan cautivar el paladar de nuestros comensales. COMPRUÉBALO #sushi #roll #ilovesushi #tokio #tempura #camaron #pescado #comida #minato #anzoategui #lecheria #anz #barcelona #bna #food #puertolacruz #pto #plc #frescura #calidad";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12818898_1698817520365919_1599442778_n.jpg?ig_cache_key=MTIwNjgyNTI2NDUwNTA5MDkxNA%3D%3D.2"
"hirox27";"あらもんや 今日の日替りランチはこちらです。\nMy shop Today’s lunch special is this. 🍴🍴🍴🍴 🍴🍴 🍴 🍴 🍴 🍴 🍴\n🎈\n🎈デザート付きです。\n\n#instafood#lunchspecial #lunch #like4like #shop #l4l #japan #japanesefood #japan #OSAKA#japanesestyle #あらもんや #ランチ #日替りランチ#オ昼ゴ飯 #日替リ #和食#定食 #ごはん#手作#food #tempura #followme #foodpic#tempuraicecream";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826119_485745454956119_175023902_n.jpg?ig_cache_key=MTIwNjgyMzkxMTcxNTkyODU0MA%3D%3D.2.l"
"thesushilover";"#soysauce #wasabi #shrimp #tuna #nori #brownrice #chopsticks #avocado #nyc #spicytuna #yellowtail #whiterice #Tempura #shrimptempura #seaweed #spicycrab #crab #caiiforniaroll #spicysalmon #spicytunaroll #whiterice #sashimi #shrimpavocado #blackrice #spicymayo";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10375629_1573777366278745_860713657_n.jpg?ig_cache_key=MTIwNjgyMjEyODc5Nzk4NTA3Mg%3D%3D.2"
"chesseurope";"Perfect #lunch #shrimp #tempura with #soba #noodles at #boyoso #niseko #hirafu #hokkaido #japan #ski #skiniseko #food #foodie #foodgasm #foodpics #foodporn #foodphotography #powder #powdersnow #loveniseko";tempura;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11313477_684145228393783_296981883_n.jpg?ig_cache_key=MTIwNjgxODE5MzQ3NjM1NTMwNQ%3D%3D.2"
